episode,reward,length,epsilon,success
1,0.0,6,1.0,0.0
2,0.0,5,0.9992327661102197,0.0
3,0.0,8,0.998466120868281,0.0
4,0.0,10,0.9977000638225534,0.0
5,0.0,2,0.9969345945217528,0.0
6,0.0,7,0.9961697125149414,0.0
7,0.0,2,0.9954054173515272,0.0
8,0.0,5,0.9946417085812642,0.0
9,0.0,11,0.9938785857542517,0.0
10,0.0,12,0.9931160484209341,0.0
11,0.0,11,0.9923540961321009,0.0
12,0.0,6,0.9915927284388861,0.0
13,0.0,6,0.9908319448927682,0.0
14,0.0,5,0.9900717450455695,0.0
15,0.0,8,0.9893121284494566,0.0
16,0.0,19,0.9885530946569395,0.0
17,0.0,6,0.9877946432208715,0.0
18,0.0,3,0.9870367736944491,0.0
19,0.0,3,0.9862794856312113,0.0
20,0.0,17,0.9855227785850399,0.0
21,0.0,8,0.984766652110159,0.0
22,0.0,12,0.9840111057611346,0.0
23,0.0,5,0.9832561390928745,0.0
24,0.0,6,0.9825017516606279,0.0
25,0.0,4,0.9817479430199854,0.0
26,0.0,3,0.9809947127268783,0.0
27,0.0,3,0.980242060337579,0.0
28,0.0,5,0.9794899854086999,0.0
29,0.0,2,0.9787384874971939,0.0
30,0.0,4,0.9779875661603538,0.0
31,0.0,12,0.9772372209558118,0.0
32,0.0,10,0.9764874514415398,0.0
33,0.0,5,0.9757382571758487,0.0
34,0.0,8,0.9749896377173882,0.0
35,0.0,7,0.9742415926251469,0.0
36,0.0,30,0.9734941214584514,0.0
37,0.0,12,0.9727472237769665,0.0
38,0.0,3,0.9720008991406952,0.0
39,0.0,3,0.9712551471099775,0.0
40,0.0,2,0.9705099672454912,0.0
41,0.0,2,0.9697653591082509,0.0
42,0.0,3,0.9690213222596081,0.0
43,0.0,5,0.9682778562612508,0.0
44,0.0,10,0.9675349606752034,0.0
45,0.0,2,0.9667926350638262,0.0
46,0.0,19,0.9660508789898152,0.0
47,0.0,9,0.9653096920162022,0.0
48,0.0,7,0.964569073706354,0.0
49,0.0,3,0.9638290236239725,0.0
50,0.0,2,0.9630895413330943,0.0
51,0.0,3,0.9623506263980907,0.0
52,0.0,4,0.9616122783836668,0.0
53,0.0,2,0.960874496854862,0.0
54,0.0,2,0.9601372813770495,0.0
55,0.0,10,0.9594006315159355,0.0
56,0.0,5,0.9586645468375599,0.0
57,0.0,2,0.9579290269082952,0.0
58,0.0,5,0.9571940712948469,0.0
59,0.0,3,0.9564596795642527,0.0
60,0.0,8,0.9557258512838827,0.0
61,0.0,6,0.9549925860214385,0.0
62,0.0,6,0.954259883344954,0.0
63,0.0,21,0.9535277428227941,0.0
64,0.0,5,0.9527961640236547,0.0
65,0.0,18,0.9520651465165632,0.0
66,1.0,9,0.951334689870877,1.0
67,0.0,9,0.9506047936562845,0.0
68,0.0,4,0.9498754574428038,0.0
69,0.0,4,0.9491466808007831,0.0
70,0.0,2,0.9484184633009003,0.0
71,0.0,7,0.9476908045141625,0.0
72,0.0,4,0.9469637040119061,0.0
73,0.0,2,0.9462371613657963,0.0
