episode,reward,length,epsilon,success
1,0.0,5,1.0,0.0
2,0.0,5,0.9997503868024299,0.0
3,0.0,10,0.9995008359116082,0.0
4,0.0,2,0.9992513473119823,0.0
5,0.0,6,0.9990019209880036,0.0
6,0.0,11,0.998752556924127,0.0
7,1.0,6,0.9985032551048119,1.0
8,0.0,3,0.998254015514521,0.0
9,0.0,9,0.9980048381377212,0.0
10,0.0,5,0.9977557229588833,0.0
11,0.0,4,0.9975066699624816,0.0
12,0.0,2,0.9972576791329948,0.0
13,0.0,2,0.9970087504549051,0.0
14,0.0,2,0.9967598839126987,0.0
15,0.0,10,0.9965110794908656,0.0
16,0.0,2,0.9962623371738998,0.0
17,0.0,3,0.9960136569462992,0.0
18,0.0,4,0.9957650387925653,0.0
19,0.0,2,0.9955164826972037,0.0
20,0.0,5,0.9952679886447239,0.0
21,0.0,3,0.9950195566196391,0.0
22,0.0,12,0.9947711866064666,0.0
23,0.0,15,0.9945228785897271,0.0
24,0.0,5,0.9942746325539457,0.0
25,0.0,5,0.9940264484836511,0.0
26,0.0,13,0.9937783263633758,0.0
27,0.0,12,0.9935302661776564,0.0
28,0.0,10,0.9932822679110331,0.0
29,1.0,21,0.9930343315480502,1.0
30,0.0,8,0.9927864570732556,0.0
31,0.0,15,0.9925386444712013,0.0
32,0.0,6,0.992290893726443,0.0
33,0.0,10,0.9920432048235402,0.0
34,0.0,6,0.9917955777470565,0.0
35,0.0,2,0.9915480124815592,0.0
36,0.0,4,0.9913005090116194,0.0
37,0.0,2,0.9910530673218121,0.0
38,0.0,6,0.9908056873967163,0.0
39,0.0,5,0.9905583692209146,0.0
40,0.0,2,0.9903111127789935,0.0
41,0.0,8,0.9900639180555435,0.0
42,0.0,4,0.9898167850351589,0.0
43,0.0,10,0.9895697137024377,0.0
44,0.0,2,0.989322704041982,0.0
45,0.0,12,0.9890757560383974,0.0
46,0.0,6,0.9888288696762936,0.0
47,0.0,4,0.988582044940284,0.0
48,0.0,6,0.9883352818149861,0.0
49,0.0,27,0.9880885802850209,0.0
50,0.0,4,0.9878419403350135,0.0
51,0.0,7,0.9875953619495926,0.0
52,0.0,13,0.9873488451133909,0.0
53,0.0,3,0.987102389811045,0.0
54,0.0,15,0.9868559960271952,0.0
55,0.0,11,0.9866096637464856,0.0
56,0.0,2,0.9863633929535643,0.0
57,0.0,6,0.9861171836330831,0.0
58,0.0,3,0.9858710357696976,0.0
59,0.0,11,0.9856249493480673,0.0
60,0.0,9,0.9853789243528557,0.0
61,0.0,5,0.9851329607687298,0.0
62,0.0,14,0.9848870585803606,0.0
63,0.0,8,0.984641217772423,0.0
64,0.0,11,0.9843954383295954,0.0
65,1.0,13,0.9841497202365606,1.0
66,0.0,4,0.9839040634780046,0.0
67,0.0,19,0.9836584680386177,0.0
68,0.0,2,0.9834129339030936,0.0
69,0.0,6,0.9831674610561303,0.0
70,0.0,8,0.9829220494824292,0.0
71,0.0,2,0.9826766991666958,0.0
