episode,reward,length,epsilon,success
1,0.0,14,1.0,0.0
2,0.0,30,0.9998465061085267,0.0
3,0.0,100,0.9996930357774281,0.0
4,0.0,64,0.9995395890030878,0.0
5,0.0,22,0.9993861657818901,0.0
6,0.0,42,0.9992327661102196,0.0
7,0.0,40,0.9990793899844617,0.0
8,0.0,18,0.9989260374010022,0.0
9,0.0,24,0.9987727083562274,0.0
10,0.0,26,0.9986194028465245,0.0
11,0.0,8,0.9984661208682808,0.0
12,0.0,12,0.9983128624178844,0.0
13,0.0,80,0.998159627491724,0.0
14,0.0,19,0.9980064160861888,0.0
15,0.0,57,0.9978532281976683,0.0
16,0.0,33,0.997700063822553,0.0
17,0.0,32,0.9975469229572337,0.0
18,0.0,13,0.9973938055981018,0.0
19,0.0,60,0.997240711741549,0.0
20,0.0,19,0.9970876413839682,0.0
21,0.0,7,0.9969345945217523,0.0
22,0.0,67,0.9967815711512947,0.0
23,0.0,20,0.9966285712689898,0.0
24,0.0,69,0.9964755948712323,0.0
25,0.0,21,0.9963226419544172,0.0
26,0.0,30,0.9961697125149407,0.0
27,0.0,7,0.9960168065491989,0.0
28,0.0,14,0.9958639240535888,0.0
29,0.0,47,0.9957110650245079,0.0
30,0.0,11,0.9955582294583543,0.0
31,0.0,33,0.9954054173515264,0.0
32,0.0,9,0.9952526287004235,0.0
33,0.0,44,0.9950998635014452,0.0
34,0.0,59,0.9949471217509918,0.0
35,0.0,9,0.994794403445464,0.0
36,0.0,31,0.9946417085812632,0.0
37,0.0,13,0.9944890371547914,0.0
38,0.0,51,0.9943363891624509,0.0
39,0.0,30,0.9941837646006448,0.0
40,0.0,49,0.9940311634657767,0.0
41,0.0,13,0.9938785857542506,0.0
42,0.0,44,0.9937260314624712,0.0
43,0.0,7,0.9935735005868437,0.0
44,0.0,17,0.9934209931237739,0.0
45,0.0,41,0.993268509069668,0.0
46,0.0,9,0.993116048420933,0.0
47,0.0,18,0.9929636111739762,0.0
48,0.0,86,0.9928111973252057,0.0
49,0.0,17,0.9926588068710299,0.0
50,0.0,25,0.992506439807858,0.0
