episode,reward,length,epsilon,success
1,0.0,29,1.0,0.0
2,0.0,14,0.9999001472431666,0.0
3,0.0,47,0.9998003044569062,0.0
4,0.0,66,0.9997004716402232,0.0
5,0.0,37,0.9996006487921223,0.0
6,0.0,28,0.9995008359116079,0.0
7,0.0,12,0.9994010329976848,0.0
8,0.0,25,0.9993012400493578,0.0
9,0.0,57,0.9992014570656318,0.0
10,0.0,54,0.9991016840455118,0.0
11,0.0,100,0.9990019209880029,0.0
12,0.0,18,0.9989021678921103,0.0
13,0.0,12,0.9988024247568393,0.0
14,0.0,29,0.9987026915811954,0.0
15,0.0,12,0.998602968364184,0.0
16,0.0,40,0.9985032551048109,0.0
17,0.0,13,0.9984035518020815,0.0
18,0.0,27,0.9983038584550018,0.0
19,0.0,23,0.9982041750625776,0.0
20,0.0,39,0.998104501623815,0.0
21,0.0,29,0.99800483813772,0.0
22,0.0,26,0.9979051846032988,0.0
23,0.0,19,0.9978055410195578,0.0
24,0.0,14,0.9977059073855032,0.0
25,0.0,39,0.9976062837001418,0.0
26,0.0,51,0.9975066699624799,0.0
27,0.0,20,0.9974070661715244,0.0
28,0.0,17,0.997307472326282,0.0
29,0.0,23,0.9972078884257597,0.0
30,0.0,20,0.9971083144689643,0.0
31,0.0,11,0.997008750454903,0.0
32,0.0,19,0.996909196382583,0.0
33,0.0,24,0.9968096522510116,0.0
34,0.0,17,0.9967101180591962,0.0
35,0.0,30,0.9966105938061441,0.0
36,0.0,48,0.9965110794908631,0.0
37,0.0,70,0.9964115751123609,0.0
38,0.0,51,0.9963120806696452,0.0
39,0.0,8,0.9962125961617239,0.0
40,0.0,50,0.9961131215876049,0.0
41,0.0,15,0.9960136569462964,0.0
42,0.0,38,0.9959142022368066,0.0
43,0.0,12,0.9958147574581436,0.0
44,0.0,14,0.9957153226093161,0.0
45,0.0,46,0.9956158976893322,0.0
46,0.0,26,0.9955164826972007,0.0
47,0.0,30,0.9954170776319303,0.0
48,0.0,10,0.9953176824925297,0.0
49,0.0,22,0.9952182972780078,0.0
50,0.0,7,0.9951189219873735,0.0
51,0.0,93,0.9950195566196359,0.0
52,0.0,27,0.9949202011738043,0.0
53,0.0,19,0.9948208556488878,0.0
54,0.0,17,0.9947215200438958,0.0
55,0.0,26,0.9946221943578378,0.0
56,0.0,31,0.9945228785897234,0.0
57,0.0,33,0.9944235727385623,0.0
58,0.0,18,0.9943242768033642,0.0
59,0.0,61,0.994224990783139,0.0
60,0.0,27,0.9941257146768966,0.0
61,0.0,42,0.9940264484836471,0.0
62,0.0,72,0.9939271922024007,0.0
63,0.0,31,0.9938279458321675,0.0
64,0.0,18,0.993728709371958,0.0
65,0.0,50,0.9936294828207827,0.0
66,0.0,9,0.993530266177652,0.0
67,0.0,27,0.9934310594415767,0.0
68,0.0,49,0.9933318626115675,0.0
69,0.0,17,0.9932326756866352,0.0
70,0.0,38,0.9931334986657908,0.0
71,0.0,88,0.9930343315480454,0.0
72,0.0,68,0.9929351743324101,0.0
73,0.0,43,0.9928360270178961,0.0
74,0.0,24,0.9927368896035148,0.0
75,0.0,41,0.9926377620882776,0.0
76,0.0,26,0.9925386444711961,0.0
77,0.0,18,0.9924395367512819,0.0
78,0.0,33,0.9923404389275469,0.0
79,0.0,60,0.9922413509990027,0.0
80,0.0,17,0.9921422729646613,0.0
81,0.0,30,0.9920432048235348,0.0
82,0.0,28,0.9919441465746353,0.0
83,0.0,82,0.991845098216975,0.0
84,0.0,20,0.9917460597495663,0.0
85,0.0,38,0.9916470311714216,0.0
86,0.0,17,0.9915480124815534,0.0
87,0.0,35,0.9914490036789745,0.0
88,0.0,34,0.9913500047626974,0.0
89,0.0,17,0.991251015731735,0.0
90,0.0,34,0.9911520365851002,0.0
91,0.0,24,0.9910530673218061,0.0
92,0.0,49,0.9909541079408658,0.0
93,0.0,14,0.9908551584412925,0.0
94,0.0,15,0.9907562188220994,0.0
95,0.0,19,0.9906572890823001,0.0
96,0.0,21,0.9905583692209081,0.0
97,0.0,31,0.990459459236937,0.0
98,0.0,14,0.9903605591294005,0.0
99,0.0,26,0.9902616688973123,0.0
100,0.0,32,0.9901627885396864,0.0
101,0.0,14,0.9900639180555368,0.0
102,0.0,28,0.9899650574438776,0.0
103,0.0,52,0.989866206703723,0.0
104,0.0,39,0.9897673658340874,0.0
105,0.0,20,0.9896685348339851,0.0
106,0.0,65,0.9895697137024306,0.0
107,0.0,59,0.9894709024384386,0.0
108,0.0,68,0.9893721010410237,0.0
109,0.0,5,0.9892733095092007,0.0
110,0.0,32,0.9891745278419845,0.0
111,0.0,25,0.98907575603839,0.0
112,0.0,12,0.9889769940974324,0.0
113,0.0,28,0.988878242018127,0.0
114,0.0,19,0.9887794997994889,0.0
115,0.0,40,0.9886807674405335,0.0
116,0.0,9,0.9885820449402763,0.0
117,0.0,26,0.988483332297733,0.0
118,0.0,25,0.9883846295119192,0.0
119,0.0,25,0.9882859365818506,0.0
120,0.0,56,0.9881872535065431,0.0
121,0.0,58,0.9880885802850128,0.0
122,0.0,23,0.9879899169162757,0.0
123,0.0,15,0.987891263399348,0.0
124,0.0,44,0.9877926197332458,0.0
125,0.0,15,0.9876939859169858,0.0
126,0.0,35,0.9875953619495842,0.0
127,0.0,28,0.9874967478300576,0.0
128,0.0,15,0.9873981435574227,0.0
129,0.0,38,0.9872995491306963,0.0
130,0.0,14,0.9872009645488952,0.0
131,0.0,79,0.9871023898110364,0.0
132,0.0,63,0.9870038249161369,0.0
133,0.0,30,0.9869052698632139,0.0
134,0.0,30,0.9868067246512846,0.0
135,0.0,11,0.9867081892793664,0.0
136,0.0,100,0.9866096637464767,0.0
137,0.0,15,0.9865111480516331,0.0
138,0.0,16,0.9864126421938532,0.0
139,0.0,19,0.9863141461721547,0.0
140,0.0,36,0.9862156599855556,0.0
141,0.0,8,0.9861171836330738,0.0
142,0.0,20,0.9860187171137271,0.0
143,0.0,18,0.9859202604265339,0.0
144,0.0,34,0.9858218135705124,0.0
145,0.0,18,0.9857233765446808,0.0
146,0.0,17,0.9856249493480577,0.0
147,0.0,10,0.9855265319796614,0.0
148,0.0,54,0.9854281244385108,0.0
149,0.0,31,0.9853297267236244,0.0
150,0.0,13,0.9852313388340211,0.0
151,0.0,29,0.9851329607687198,0.0
152,0.0,88,0.9850345925267395,0.0
153,0.0,25,0.9849362341070994,0.0
154,0.0,10,0.9848378855088187,0.0
155,0.0,36,0.9847395467309166,0.0
156,0.0,42,0.9846412177724125,0.0
157,0.0,16,0.9845428986323261,0.0
158,0.0,9,0.9844445893096769,0.0
159,0.0,66,0.9843462898034846,0.0
160,0.0,29,0.9842480001127689,0.0
161,0.0,58,0.9841497202365499,0.0
162,0.0,8,0.9840514501738474,0.0
163,0.0,11,0.9839531899236816,0.0
164,0.0,12,0.9838549394850727,0.0
165,0.0,22,0.983756698857041,0.0
166,0.0,62,0.9836584680386068,0.0
167,0.0,79,0.9835602470287905,0.0
168,0.0,8,0.983462035826613,0.0
169,0.0,16,0.9833638344310947,0.0
170,0.0,17,0.9832656428412564,0.0
171,0.0,52,0.9831674610561191,0.0
172,0.0,67,0.9830692890747037,0.0
173,0.0,19,0.9829711268960313,0.0
174,0.0,47,0.982872974519123,0.0
175,0.0,61,0.9827748319430002,0.0
176,0.0,88,0.9826766991666842,0.0
177,0.0,18,0.9825785761891964,0.0
178,0.0,60,0.9824804630095585,0.0
179,0.0,10,0.982382359626792,0.0
180,0.0,29,0.9822842660399187,0.0
181,0.0,27,0.9821861822479605,0.0
182,0.0,35,0.9820881082499393,0.0
183,0.0,14,0.9819900440448772,0.0
184,0.0,14,0.9818919896317964,0.0
185,0.0,91,0.981793945009719,0.0
186,0.0,24,0.9816959101776673,0.0
187,0.0,25,0.981597885134664,0.0
188,0.0,36,0.9814998698797314,0.0
189,0.0,7,0.9814018644118923,0.0
190,0.0,69,0.9813038687301693,0.0
191,0.0,15,0.9812058828335852,0.0
192,0.0,9,0.9811079067211631,0.0
193,0.0,39,0.9810099403919259,0.0
194,0.0,14,0.9809119838448968,0.0
195,0.0,13,0.9808140370790989,0.0
196,0.0,58,0.9807161000935556,0.0
197,0.0,23,0.9806181728872903,0.0
198,0.0,74,0.9805202554593265,0.0
199,0.0,49,0.9804223478086879,0.0
200,0.0,17,0.980324449934398,0.0
201,0.0,26,0.9802265618354808,0.0
202,0.0,8,0.9801286835109602,0.0
203,0.0,58,0.9800308149598601,0.0
204,0.0,43,0.9799329561812047,0.0
205,0.0,17,0.979835107174018,0.0
206,0.0,11,0.9797372679373245,0.0
207,0.0,13,0.9796394384701486,0.0
208,0.0,51,0.9795416187715146,0.0
209,0.0,19,0.9794438088404471,0.0
210,0.0,24,0.979346008675971,0.0
211,0.0,12,0.9792482182771108,0.0
212,0.0,10,0.9791504376428917,0.0
213,0.0,54,0.9790526667723384,0.0
214,0.0,22,0.9789549056644761,0.0
215,0.0,35,0.9788571543183299,0.0
216,0.0,38,0.978759412732925,0.0
217,0.0,26,0.9786616809072869,0.0
218,0.0,34,0.978563958840441,0.0
219,0.0,44,0.9784662465314129,0.0
220,0.0,9,0.9783685439792282,0.0
221,0.0,11,0.9782708511829128,0.0
222,0.0,64,0.9781731681414924,0.0
223,0.0,7,0.9780754948539929,0.0
224,0.0,36,0.9779778313194405,0.0
225,1.0,57,0.9778801775368613,1.0
226,0.0,19,0.9777825335052814,0.0
227,0.0,72,0.9776848992237274,0.0
228,0.0,12,0.9775872746912254,0.0
229,0.0,28,0.9774896599068023,0.0
230,0.0,20,0.9773920548694843,0.0
231,0.0,22,0.9772944595782985,0.0
232,0.0,21,0.9771968740322716,0.0
233,0.0,44,0.9770992982304305,0.0
234,0.0,28,0.9770017321718022,0.0
235,0.0,35,0.9769041758554138,0.0
236,0.0,15,0.9768066292802925,0.0
237,0.0,41,0.9767090924454657,0.0
238,0.0,21,0.9766115653499607,0.0
239,0.0,58,0.9765140479928052,0.0
240,0.0,33,0.9764165403730265,0.0
241,0.0,55,0.9763190424896525,0.0
242,0.0,19,0.976221554341711,0.0
243,0.0,16,0.9761240759282297,0.0
244,0.0,33,0.9760266072482368,0.0
